DateTime,Date,Hour,Entrances
2022-09-27 10:00:00,2022-09-27,10,305
2022-09-27 11:00:00,2022-09-27,11,427
2022-09-27 12:00:00,2022-09-27,12,285
2022-09-27 13:00:00,2022-09-27,13,300
2022-09-27 14:00:00,2022-09-27,14,377
2022-09-27 15:00:00,2022-09-27,15,339
2022-09-27 16:00:00,2022-09-27,16,394
2022-09-27 17:00:00,2022-09-27,17,441
2022-09-27 18:00:00,2022-09-27,18,493
2022-09-27 19:00:00,2022-09-27,19,418
2022-09-27 20:00:00,2022-09-27,20,380
2022-09-27 21:00:00,2022-09-27,21,231
2022-09-27 22:00:00,2022-09-27,22,108
2022-09-27 23:00:00,2022-09-27,23,22
2022-09-28 06:00:00,2022-09-28,6,198
2022-09-28 07:00:00,2022-09-28,7,159
2022-09-28 08:00:00,2022-09-28,8,242
2022-09-28 09:00:00,2022-09-28,9,306
2022-09-28 10:00:00,2022-09-28,10,346
2022-09-28 11:00:00,2022-09-28,11,326
2022-09-28 12:00:00,2022-09-28,12,377
2022-09-28 13:00:00,2022-09-28,13,304
2022-09-28 14:00:00,2022-09-28,14,351
2022-09-28 15:00:00,2022-09-28,15,272
2022-09-28 16:00:00,2022-09-28,16,401
2022-09-28 17:00:00,2022-09-28,17,406
2022-09-28 18:00:00,2022-09-28,18,463
2022-09-28 19:00:00,2022-09-28,19,375
2022-09-28 20:00:00,2022-09-28,20,358
2022-09-28 21:00:00,2022-09-28,21,234
2022-09-28 22:00:00,2022-09-28,22,129
2022-09-28 23:00:00,2022-09-28,23,14
2022-09-29 05:00:00,2022-09-29,5,5
2022-09-29 06:00:00,2022-09-29,6,172
2022-09-29 07:00:00,2022-09-29,7,188
2022-09-29 08:00:00,2022-09-29,8,255
2022-09-29 09:00:00,2022-09-29,9,295
2022-09-29 10:00:00,2022-09-29,10,268
2022-09-29 11:00:00,2022-09-29,11,423
2022-09-29 12:00:00,2022-09-29,12,293
2022-09-29 13:00:00,2022-09-29,13,240
2022-09-29 14:00:00,2022-09-29,14,303
2022-09-29 15:00:00,2022-09-29,15,310
2022-09-29 16:00:00,2022-09-29,16,391
2022-09-29 17:00:00,2022-09-29,17,285
2022-09-29 18:00:00,2022-09-29,18,278
2022-09-29 19:00:00,2022-09-29,19,219
2022-09-29 20:00:00,2022-09-29,20,242
2022-09-29 21:00:00,2022-09-29,21,169
2022-09-29 22:00:00,2022-09-29,22,124
2022-09-29 23:00:00,2022-09-29,23,18
2022-09-30 06:00:00,2022-09-30,6,161
2022-09-30 07:00:00,2022-09-30,7,147
2022-09-30 08:00:00,2022-09-30,8,187
2022-09-30 09:00:00,2022-09-30,9,172
2022-09-30 10:00:00,2022-09-30,10,283
2022-09-30 11:00:00,2022-09-30,11,283
2022-09-30 12:00:00,2022-09-30,12,352
2022-09-30 13:00:00,2022-09-30,13,307
2022-09-30 14:00:00,2022-09-30,14,319
2022-09-30 15:00:00,2022-09-30,15,271
2022-09-30 16:00:00,2022-09-30,16,327
2022-09-30 17:00:00,2022-09-30,17,232
2022-09-30 18:00:00,2022-09-30,18,223
2022-09-30 19:00:00,2022-09-30,19,230
2022-09-30 20:00:00,2022-09-30,20,159
2022-09-30 21:00:00,2022-09-30,21,121
2022-09-30 22:00:00,2022-09-30,22,71
2022-09-30 23:00:00,2022-09-30,23,23
2022-10-01 07:00:00,2022-10-01,7,1
2022-10-01 08:00:00,2022-10-01,8,294
2022-10-01 09:00:00,2022-10-01,9,265
2022-10-01 10:00:00,2022-10-01,10,313
2022-10-01 11:00:00,2022-10-01,11,429
2022-10-01 12:00:00,2022-10-01,12,411
2022-10-01 13:00:00,2022-10-01,13,409
2022-10-01 14:00:00,2022-10-01,14,404
2022-10-01 15:00:00,2022-10-01,15,396
2022-10-01 16:00:00,2022-10-01,16,334
2022-10-01 17:00:00,2022-10-01,17,403
2022-10-01 18:00:00,2022-10-01,18,345
2022-10-01 19:00:00,2022-10-01,19,421
2022-10-01 20:00:00,2022-10-01,20,320
2022-10-01 21:00:00,2022-10-01,21,117
2022-10-01 22:00:00,2022-10-01,22,4
2022-10-03 06:00:00,2022-10-03,6,202
2022-10-03 07:00:00,2022-10-03,7,194
2022-10-03 08:00:00,2022-10-03,8,232
2022-10-03 09:00:00,2022-10-03,9,274
2022-10-03 10:00:00,2022-10-03,10,343
2022-10-03 11:00:00,2022-10-03,11,288
2022-10-03 12:00:00,2022-10-03,12,315
2022-10-03 13:00:00,2022-10-03,13,240
2022-10-03 14:00:00,2022-10-03,14,330
2022-10-03 15:00:00,2022-10-03,15,290
2022-10-03 16:00:00,2022-10-03,16,389
2022-10-03 17:00:00,2022-10-03,17,425
2022-10-03 18:00:00,2022-10-03,18,449
2022-10-03 19:00:00,2022-10-03,19,404
2022-10-03 20:00:00,2022-10-03,20,359
2022-10-03 21:00:00,2022-10-03,21,293
2022-10-03 22:00:00,2022-10-03,22,108
2022-10-03 23:00:00,2022-10-03,23,23
2022-10-04 06:00:00,2022-10-04,6,215
2022-10-04 07:00:00,2022-10-04,7,203
2022-10-04 08:00:00,2022-10-04,8,189
2022-10-04 09:00:00,2022-10-04,9,323
2022-10-04 10:00:00,2022-10-04,10,290
2022-10-04 11:00:00,2022-10-04,11,419
2022-10-04 12:00:00,2022-10-04,12,270
2022-10-04 13:00:00,2022-10-04,13,257
2022-10-04 14:00:00,2022-10-04,14,310
2022-10-04 15:00:00,2022-10-04,15,284
2022-10-04 16:00:00,2022-10-04,16,348
2022-10-04 17:00:00,2022-10-04,17,404
2022-10-04 18:00:00,2022-10-04,18,445
2022-10-04 19:00:00,2022-10-04,19,378
2022-10-04 20:00:00,2022-10-04,20,346
2022-10-04 21:00:00,2022-10-04,21,252
2022-10-04 22:00:00,2022-10-04,22,153
2022-10-04 23:00:00,2022-10-04,23,22
2022-10-05 06:00:00,2022-10-05,6,165
2022-10-05 07:00:00,2022-10-05,7,126
2022-10-05 08:00:00,2022-10-05,8,260
2022-10-05 09:00:00,2022-10-05,9,287
2022-10-05 10:00:00,2022-10-05,10,314
2022-10-05 11:00:00,2022-10-05,11,287
2022-10-05 12:00:00,2022-10-05,12,345
2022-10-05 13:00:00,2022-10-05,13,255
2022-10-05 14:00:00,2022-10-05,14,296
2022-10-05 15:00:00,2022-10-05,15,264
2022-10-05 16:00:00,2022-10-05,16,363
2022-10-05 17:00:00,2022-10-05,17,388
2022-10-05 18:00:00,2022-10-05,18,439
2022-10-05 19:00:00,2022-10-05,19,332
2022-10-05 20:00:00,2022-10-05,20,341
