DateTime,Date,Hour,Entrances
2022-10-26 04:00:00,2022-10-26,4,349
2022-10-26 05:00:00,2022-10-26,5,371
2022-10-26 06:00:00,2022-10-26,6,579
2022-10-26 07:00:00,2022-10-26,7,438
2022-10-26 08:00:00,2022-10-26,8,516
2022-10-26 09:00:00,2022-10-26,9,458
2022-10-26 10:00:00,2022-10-26,10,356
2022-10-26 11:00:00,2022-10-26,11,308
2022-10-26 12:00:00,2022-10-26,12,316
2022-10-27 01:00:00,2022-10-27,1,234
2022-10-27 02:00:00,2022-10-27,2,286
2022-10-27 03:00:00,2022-10-27,3,279
2022-10-27 04:00:00,2022-10-27,4,335
2022-10-27 05:00:00,2022-10-27,5,274
2022-10-27 06:00:00,2022-10-27,6,505
2022-10-27 07:00:00,2022-10-27,7,381
2022-10-27 08:00:00,2022-10-27,8,408
2022-10-27 09:00:00,2022-10-27,9,376
2022-10-27 10:00:00,2022-10-27,10,321
2022-10-27 11:00:00,2022-10-27,11,319
2022-10-27 12:00:00,2022-10-27,12,247
2022-10-28 01:00:00,2022-10-28,1,257
2022-10-28 02:00:00,2022-10-28,2,237
2022-10-28 03:00:00,2022-10-28,3,265
2022-10-28 04:00:00,2022-10-28,4,286
2022-10-28 05:00:00,2022-10-28,5,225
2022-10-28 06:00:00,2022-10-28,6,272
2022-10-28 07:00:00,2022-10-28,7,209
2022-10-28 08:00:00,2022-10-28,8,197
2022-10-28 09:00:00,2022-10-28,9,230
2022-10-28 10:00:00,2022-10-28,10,300
2022-10-28 11:00:00,2022-10-28,11,259
2022-10-28 12:00:00,2022-10-28,12,271
2022-10-29 01:00:00,2022-10-29,1,381
2022-10-29 02:00:00,2022-10-29,2,366
2022-10-29 03:00:00,2022-10-29,3,430
2022-10-29 04:00:00,2022-10-29,4,445
2022-10-29 05:00:00,2022-10-29,5,354
2022-10-29 06:00:00,2022-10-29,6,291
2022-10-29 07:00:00,2022-10-29,7,308
2022-10-29 08:00:00,2022-10-29,8,399
2022-10-29 09:00:00,2022-10-29,9,294
2022-10-29 10:00:00,2022-10-29,10,217
2022-10-29 11:00:00,2022-10-29,11,336
2022-10-29 12:00:00,2022-10-29,12,381
2022-10-31 01:00:00,2022-10-31,1,250
2022-10-31 02:00:00,2022-10-31,2,285
2022-10-31 03:00:00,2022-10-31,3,251
2022-10-31 04:00:00,2022-10-31,4,382
2022-10-31 05:00:00,2022-10-31,5,350
2022-10-31 06:00:00,2022-10-31,6,546
2022-10-31 07:00:00,2022-10-31,7,394
2022-10-31 08:00:00,2022-10-31,8,504
2022-10-31 09:00:00,2022-10-31,9,441
2022-10-31 10:00:00,2022-10-31,10,349
2022-10-31 11:00:00,2022-10-31,11,261
2022-10-31 12:00:00,2022-10-31,12,265
2022-11-01 01:00:00,2022-11-01,1,221
2022-11-01 02:00:00,2022-11-01,2,292
2022-11-01 03:00:00,2022-11-01,3,311
2022-11-01 04:00:00,2022-11-01,4,366
2022-11-01 05:00:00,2022-11-01,5,342
2022-11-01 06:00:00,2022-11-01,6,550
2022-11-01 07:00:00,2022-11-01,7,415
2022-11-01 08:00:00,2022-11-01,8,504
2022-11-01 09:00:00,2022-11-01,9,542
2022-11-01 10:00:00,2022-11-01,10,390
2022-11-01 11:00:00,2022-11-01,11,344
2022-11-01 12:00:00,2022-11-01,12,227
2022-11-02 01:00:00,2022-11-02,1,223
2022-11-02 02:00:00,2022-11-02,2,266
2022-11-02 03:00:00,2022-11-02,3,265
2022-11-02 04:00:00,2022-11-02,4,340
2022-11-02 05:00:00,2022-11-02,5,430
2022-11-02 06:00:00,2022-11-02,6,393
2022-11-02 07:00:00,2022-11-02,7,387
2022-11-02 08:00:00,2022-11-02,8,466
2022-11-02 09:00:00,2022-11-02,9,475
2022-11-02 10:00:00,2022-11-02,10,382
