Entrance/Exit Statistics,,
Parameters,,
"Mon, Sep 12, 2022 12:00 AM to Mon, Feb 20, 2023 11:59 PM",,
Facilities: Recreation Center,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,
,Entrances,Exits
"Tue, Sep 20, 2022",6127,0
06:00 - 06:15 AM,93,0
06:15 - 06:30 AM,69,0
"Tue, Feb 21 2023 2:45P",Page: 14/247,
Entrances,Exits,
06:30 - 06:45 AM,65,0
06:45 - 07:00 AM,44,0
07:00 - 07:15 AM,81,0
07:15 - 07:30 AM,59,0
07:30 - 07:45 AM,57,0
07:45 - 08:00 AM,80,0
08:00 - 08:15 AM,79,0
08:15 - 08:30 AM,84,0
08:30 - 08:45 AM,60,0
08:45 - 9:00 AM,91,0
9:00 - 9:15 AM,212,0
9:15 - 9:30 AM,80,0
9:30 - 9:45 AM,111,0
9:45 - 10:00 AM,93,0
10:00 - 10:15 AM,130,0
10:15 - 10:30 AM,94,0
10:30 - 10:45 AM,87,0
10:45 - 11:00 AM,110,0
11:00 - 11:15 AM,223,0
11:15 - 11:30 AM,102,0
11:30 - 11:45 AM,95,0
11:45 - 12:00 AM,93,0
12:00 - 12:15 AM,129,0
12:15 - 12:30 AM,72,0
12:30 - 12:45 AM,61,0
12:45 - 01:00 PM,61,0
01:00 - 01:15 PM,120,0
01:15 - 01:30 PM,80,0
01:30 - 01:45 PM,95,0
01:45 - 02:00 PM,77,0
02:00 - 02:15 PM,153,0
02:15 - 02:30 PM,82,0
02:30 - 02:45 PM,82,0
02:45 - 03:00 PM,68,0
03:00 - 03:15 PM,115,0
03:15 - 03:30 PM,68,0
03:30 - 03:45 PM,70,0
03:45 - 04:00 PM,106,0
04:00 - 04:15 PM,164,0
04:15 - 04:30 PM,74,0
"Tue, Feb 21 2023 2:45P",Page: 15/247,
Entrances,Exits,
04:30 - 04:45 PM,109,0
04:45 - 05:00 PM,114,0
05:00 - 05:15 PM,135,0
05:15 - 05:30 PM,132,0
05:30 - 05:45 PM,83,0
05:45 - 06:00 PM,78,0
06:00 - 06:15 PM,146,0
06:15 - 06:30 PM,131,0
06:30 - 06:45 PM,87,0
06:45 - 07:00 PM,168,0
07:00 - 07:15 PM,90,0
07:15 - 07:30 PM,98,0
07:30 - 07:45 PM,101,0
07:45 - 08:00 PM,81,0
08:00 - 08:15 PM,106,0
08:15 - 08:30 PM,90,0
08:30 - 08:45 PM,59,0
08:45 - 9:00 PM,49,0
9:00 - 9:15 PM,64,0
9:15 - 9:30 PM,39,0
9:30 - 9:45 PM,52,0
9:45 - 10:00 PM,51,0
10:00 - 10:15 PM,31,0
10:15 - 10:30 PM,24,0
10:30 - 10:45 PM,18,0
10:45 - 11:00 PM,12,0
11:00 - 11:15 PM,7,0
11:15 - 11:30 PM,3,0
"Wed, Sep 21, 2022",4838,0
06:00 - 06:15 AM,18,0
06:15 - 06:30 AM,53,0
06:30 - 06:45 AM,62,0
06:45 - 07:00 AM,42,0
07:00 - 07:15 AM,55,0
07:15 - 07:30 AM,50,0
07:30 - 07:45 AM,50,0
07:45 - 08:00 AM,58,0
08:00 - 08:15 AM,79,0
08:15 - 08:30 AM,90,0
08:30 - 08:45 AM,61,0
"Tue, Feb 21 2023 2:45P",Page: 16/247,
Entrances,Exits,
08:45 - 9:00 AM,85,0
9:00 - 9:15 AM,126,0
9:15 - 9:30 AM,59,0
9:30 - 9:45 AM,65,0
9:45 - 10:00 AM,92,0
10:00 - 10:15 AM,146,0
10:15 - 10:30 AM,64,0
10:30 - 10:45 AM,79,0
10:45 - 11:00 AM,87,0
11:00 - 11:15 AM,108,0
11:15 - 11:30 AM,69,0
11:30 - 11:45 AM,71,0
11:45 - 12:00 AM,82,0
12:00 - 12:15 AM,177,0
12:15 - 12:30 AM,121,0
12:30 - 12:45 AM,58,0
12:45 - 01:00 PM,58,0
01:00 - 01:15 PM,111,0
01:15 - 01:30 PM,76,0
01:30 - 01:45 PM,53,0
01:45 - 02:00 PM,80,0
02:00 - 02:15 PM,154,0
02:15 - 02:30 PM,85,0
02:30 - 02:45 PM,69,0
02:45 - 03:00 PM,73,0
03:00 - 03:15 PM,91,0
03:15 - 03:30 PM,72,0
03:30 - 03:45 PM,52,0
03:45 - 04:00 PM,60,0
04:00 - 04:15 PM,112,0
04:15 - 04:30 PM,55,0
04:30 - 04:45 PM,52,0
04:45 - 05:00 PM,62,0
05:00 - 05:15 PM,74,0
05:15 - 05:30 PM,44,0
05:30 - 05:45 PM,72,0
05:45 - 06:00 PM,75,0
06:00 - 06:15 PM,121,0
06:15 - 06:30 PM,68,0
06:30 - 06:45 PM,49,0
"Tue, Feb 21 2023 2:45P",Page: 17/247,
Entrances,Exits,
06:45 - 07:00 PM,98,0
07:00 - 07:15 PM,87,0
07:15 - 07:30 PM,51,0
07:30 - 07:45 PM,65,0
07:45 - 08:00 PM,93,0
08:00 - 08:15 PM,69,0
08:15 - 08:30 PM,107,0
08:30 - 08:45 PM,43,0
08:45 - 9:00 PM,51,0
9:00 - 9:15 PM,58,0
9:15 - 9:30 PM,40,0
9:30 - 9:45 PM,28,0
9:45 - 10:00 PM,43,0
10:00 - 10:15 PM,26,0
10:15 - 10:30 PM,22,0
10:30 - 10:45 PM,12,0
10:45 - 11:00 PM,8,0
11:00 - 11:15 PM,7,0
11:15 - 11:30 PM,1,0
11:30 - 11:45 PM,3,0
11:45 - 00:00 AM,1,0
"Thu, Sep 22, 2022",4855,0
05:45 - 06:00 AM,15,0
06:00 - 06:15 AM,62,0
06:15 - 06:30 AM,45,0
06:30 - 06:45 AM,46,0
06:45 - 07:00 AM,31,0
07:00 - 07:15 AM,56,0
07:15 - 07:30 AM,33,0
07:30 - 07:45 AM,36,0
07:45 - 08:00 AM,54,0
08:00 - 08:15 AM,79,0
08:15 - 08:30 AM,50,0
08:30 - 08:45 AM,39,0
08:45 - 9:00 AM,77,0
9:00 - 9:15 AM,129,0
9:15 - 9:30 AM,60,0
9:30 - 9:45 AM,78,0
9:45 - 10:00 AM,63,0
10:00 - 10:15 AM,94,0
"Tue, Feb 21 2023 2:45P",Page: 18/247,
Entrances,Exits,
10:15 - 10:30 AM,54,0
10:30 - 10:45 AM,65,0
10:45 - 11:00 AM,110,0
11:00 - 11:15 AM,179,0
11:15 - 11:30 AM,85,0
11:30 - 11:45 AM,86,0
11:45 - 12:00 AM,81,0
12:00 - 12:15 AM,114,0
12:15 - 12:30 AM,63,0
12:30 - 12:45 AM,53,0
12:45 - 01:00 PM,69,0
01:00 - 01:15 PM,90,0
01:15 - 01:30 PM,70,0
01:30 - 01:45 PM,53,0
01:45 - 02:00 PM,79,0
02:00 - 02:15 PM,134,0
02:15 - 02:30 PM,68,0
02:30 - 02:45 PM,70,0
02:45 - 03:00 PM,69,0
03:00 - 03:15 PM,93,0
03:15 - 03:30 PM,60,0
03:30 - 03:45 PM,65,0
03:45 - 04:00 PM,87,0
04:00 - 04:15 PM,147,0
04:15 - 04:30 PM,117,0
04:30 - 04:45 PM,81,0
04:45 - 05:00 PM,92,0
05:00 - 05:15 PM,72,0
05:15 - 05:30 PM,80,0
05:30 - 05:45 PM,56,0
05:45 - 06:00 PM,74,0
06:00 - 06:15 PM,103,0
06:15 - 06:30 PM,71,0
06:30 - 06:45 PM,91,0
06:45 - 07:00 PM,135,0
